Reading training examples... (65 examples) done
Training set properties: 2398 features, 8 classes
Iter 119: *(NumConst=113, SV=107, CEps=0.2127, QPEps=0.0806)
Iter 120: *(NumConst=114, SV=108, CEps=0.2254, QPEps=0.1056)
Iter 121: *(NumConst=115, SV=108, CEps=0.1869, QPEps=0.0839)
Iter 122: *(NumConst=116, SV=108, CEps=0.1730, QPEps=0.0855)
Iter 123: *(NumConst=117, SV=109, CEps=0.1433, QPEps=0.0686)
Iter 124: *(NumConst=118, SV=110, CEps=0.1472, QPEps=0.0707)
Iter 125: *(NumConst=119, SV=111, CEps=0.1591, QPEps=0.0697)
Iter 126: *(NumConst=120, SV=111, CEps=0.1468, QPEps=0.0687)
Iter 127: .........*(NumConst=121, SV=112, CEps=0.4121, QPEps=0.1529)
Iter 128: *(NumConst=122, SV=113, CEps=0.2735, QPEps=0.1177)
Iter 129: *(NumConst=123, SV=114, CEps=0.1990, QPEps=0.0979)
Iter 130: *(NumConst=122, SV=115, CEps=0.2041, QPEps=0.0973)
Iter 131: *(NumConst=123, SV=116, CEps=0.1689, QPEps=0.0829)
Iter 132: *(NumConst=124, SV=117, CEps=0.1356, QPEps=0.0610)
Iter 133: *(NumConst=124, SV=118, CEps=0.1385, QPEps=0.0653)
Iter 134: *(NumConst=125, SV=119, CEps=0.1290, QPEps=0.0616)
Iter 135: *(NumConst=126, SV=120, CEps=0.1274, QPEps=0.0630)
Iter 136: *(NumConst=127, SV=121, CEps=0.1190, QPEps=0.0566)
Iter 137: *(NumConst=128, SV=121, CEps=0.1076, QPEps=0.0510)
Iter 138: *(NumConst=128, SV=122, CEps=0.1060, QPEps=0.0519)
Iter 139: .........*(NumConst=129, SV=123, CEps=0.2380, QPEps=0.0888)
Iter 140: *(NumConst=130, SV=124, CEps=0.1762, QPEps=0.0876)
Iter 141: *(NumConst=131, SV=125, CEps=0.1469, QPEps=0.0636)
Iter 142: *(NumConst=132, SV=126, CEps=0.1181, QPEps=0.0585)
Iter 143: *(NumConst=133, SV=127, CEps=0.1388, QPEps=0.0560)
Iter 144: *(NumConst=134, SV=128, CEps=0.1053, QPEps=0.0481)
Iter 145: *(NumConst=135, SV=129, CEps=0.1065, QPEps=0.0491)
Iter 146: .........*(NumConst=136, SV=130, CEps=0.1659, QPEps=0.0726)
Iter 147: *(NumConst=137, SV=131, CEps=0.1016, QPEps=0.0456)
Iter 148: .........*(NumConst=138, SV=132, CEps=0.1121, QPEps=0.0537)
Iter 149: .........(NumConst=138, SV=132, CEps=0.0925, QPEps=0.0537)
Final epsilon on KKT-Conditions: 0.09254
Upper bound on duality gap: 476.76029
Dual objective value: dval=43348.81049
Primal objective value: pval=43825.57078
Total number of constraints in final working set: 138 (of 148)
Number of iterations: 149
Number of calls to 'find_most_violated_constraint': 1040
Number of SV: 132 
Norm of weight vector: |w|=294.49239
Value of slack variable (on working set): xi=0.02754
Value of slack variable (global): xi=0.09254
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=0.72422
Runtime in cpu-seconds: 0.08
Final number of constraints in cache: 319
Compacting linear model...done
Writing learned model...done
