Reading training examples...'3' in LINE: 5 1:1 2:1 3
Reading training examples... (65 examples) done
Training set properties: 2388 features, 8 classes
Iter 123: *(NumConst=118, SV=110, CEps=0.1327, QPEps=0.0619)
Iter 124: *(NumConst=119, SV=111, CEps=0.1269, QPEps=0.0613)
Iter 125: *(NumConst=120, SV=111, CEps=0.1166, QPEps=0.0575)
Iter 126: .........*(NumConst=121, SV=112, CEps=0.5141, QPEps=0.2133)
Iter 127: *(NumConst=122, SV=114, CEps=0.3890, QPEps=0.1894)
Iter 128: *(NumConst=123, SV=115, CEps=0.3643, QPEps=0.1702)
Iter 129: *(NumConst=124, SV=116, CEps=0.2726, QPEps=0.1262)
Iter 130: *(NumConst=124, SV=116, CEps=0.2449, QPEps=0.1037)
Iter 131: *(NumConst=125, SV=117, CEps=0.2441, QPEps=0.1025)
Iter 132: *(NumConst=125, SV=118, CEps=0.1868, QPEps=0.0848)
Iter 133: *(NumConst=126, SV=119, CEps=0.1504, QPEps=0.0722)
Iter 134: *(NumConst=127, SV=120, CEps=0.1821, QPEps=0.0688)
Iter 135: .........*(NumConst=128, SV=121, CEps=0.2496, QPEps=0.0960)
Iter 136: *(NumConst=129, SV=121, CEps=0.2022, QPEps=0.0940)
Iter 137: *(NumConst=130, SV=122, CEps=0.1870, QPEps=0.0907)
Iter 138: *(NumConst=131, SV=123, CEps=0.1421, QPEps=0.0584)
Iter 139: *(NumConst=132, SV=124, CEps=0.1640, QPEps=0.0603)
Iter 140: *(NumConst=133, SV=125, CEps=0.1119, QPEps=0.0519)
Iter 141: *(NumConst=134, SV=126, CEps=0.1513, QPEps=0.0550)
Iter 142: *(NumConst=133, SV=127, CEps=0.1064, QPEps=0.0491)
Iter 143: *(NumConst=134, SV=128, CEps=0.1129, QPEps=0.0513)
Iter 144: *(NumConst=135, SV=129, CEps=0.1060, QPEps=0.0463)
Iter 145: .........*(NumConst=136, SV=130, CEps=0.1413, QPEps=0.0682)
Iter 146: *(NumConst=137, SV=131, CEps=0.1190, QPEps=0.0579)
Iter 147: *(NumConst=138, SV=131, CEps=0.1020, QPEps=0.0489)
Iter 148: *(NumConst=139, SV=132, CEps=0.1103, QPEps=0.0420)
Iter 149: .........*(NumConst=140, SV=133, CEps=0.1114, QPEps=0.0531)
Iter 150: .........(NumConst=140, SV=133, CEps=0.0923, QPEps=0.0531)
Final epsilon on KKT-Conditions: 0.09225
Upper bound on duality gap: 477.59962
Dual objective value: dval=32591.16828
Primal objective value: pval=33068.76790
Total number of constraints in final working set: 140 (of 149)
Number of iterations: 150
Number of calls to 'find_most_violated_constraint': 975
Number of SV: 133 
Norm of weight vector: |w|=255.37230
Value of slack variable (on working set): xi=0.01917
Value of slack variable (global): xi=0.09225
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=0.60842
Runtime in cpu-seconds: 0.08
Final number of constraints in cache: 316
Compacting linear model...done
Writing learned model...done
